url_length,number_of_special_characters,_has_ssl,number_of_name_servers,number_of_href_links,has_pop_up,has_input,has_password,domain_age,number_of_subdomains,has_favicon,NonStdPort,LinksInScriptTags,has_title,has_submit,has_button,has_link,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_images,number_of_option,number_of_list,number_of_TR,number_of_TH,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,number_link,has_abnormalURL,has_dns_recording,GoogleIndex,double_slash_redirecting,domain_registration_length,statistical_report,submitting_to_email,https_token,count_redirects,has_executable_files,count_javascript_files,number_of_emails,get_ssl_update_age,get_ip_count,get_ssl_expiry_duration,number_of_smtp_servers,number_of_txt_records,shortening_service,url,Label
11,0,0,3,3,0,0,0,17,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27,1,0,0,138,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,1,0,0,0,17,-1,1,-1,2,-1,0,http://pertiti.com,1
28,4,0,0,0,0,0,0,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,1,-1,241,1,-1,-1,-1,0,http://pp-action-required.22web.org,1
28,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,1,19,-1,1,144,-1,-1,0,http://pp-action-required.22web.org,1
31,0,0,2,61,0,0,0,0,1,1,1,-1,1,0,1,1,0,0,0,0,0,0,0,47,0,0,6,22,108,0,0,1,2933,1,61,117,0,1,0,0,0,0,6,1,0,0,0,13,0,16,0,-1,1,1,-1,1,1,1,0,0,16,-1,-1,1,-1,2,1,0,http://alfapropertiesconstructions.com,1
16,0,1,2,4,0,0,0,10,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,580,0,4,9,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,4,0,http://avchennai.edu.in,1
21,0,1,4,4,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,10,1,0,0,66,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,0,1,1,1,0,0,0,-1,686,1,-1,1,-1,0,http://bestmanweddings.co.uk,1
12,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,1,0,0,231,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,-1,1,0,http://pp-back.info,1
12,0,0,2,1,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,0,0,166,0,1,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,-1,1,1,1,1,1,1,0,0,0,17,-1,1,-1,2,3,0,http://alfaycia.com,1
12,1,0,2,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,1,0,0,231,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,-1,1,0,http://pp-back.info,1
26,1,1,4,2,0,0,0,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,38,0,0,0,542,0,2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,-1,1,1,1,1,1,1,0,0,1,-1,-1,2,-1,1,1,0,http://accounts-receivable.online,1
10,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,34,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,-1,263,1,121,-1,-1,0,http://ppe.edu.pl,1
53,22,0,0,23,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,53,1,1,0,767,0,23,8,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,1,1,0,1,1,1,0,0,0,2,-1,1,301,-1,-1,0,http://algorir36598a9b4fb615b5d2c6daf15c890355.dns-cloud.net,1
